tagalog,english,cebuano,kapampangan,bicolano,other
Marami akong kaibigan.,I have many friends.,Daghan ko og amigo.,Dakal ku kaluguran.,Dakul akong mga amigo.,Rem quis cum ipsum odit aliquid.
Mga karpintero ang tatay at kapatid kong babae.,My father and sister are carpenters.,Mga panday ang amahan og lumon nako nga babaye.,I tatang ku ampo ing kapatad kung babai karpinteru la.,An sakong ama asin tugang na babae mga panday.,Selhání cizinec řešit klidný.
Huwag na huwag kayong maglaro sa daan.,Never play on the road.,Ayaw gyud og dula sa dulan.,E ka maglarin keng dalan.,Dai nanggad mag-aling sa tinampo.,ของหวานแม่ชาวเหตุกะละมังติด 
Hindi ako ang nanay ni Tom.,I'm not Tom's mother.,Dili ko ang inahan ni Tom.,Aliwa ku ing ima nang Tom.,Bako akong ina ni Tom.,状态这些人民游戏一下产品这么.
Hinding-hindi magkakaroon ng komunismo habang ako ay nabubuhay.,There will never be communism in my lifetime.,Dili gyud magka-komunismo samtang ako kay buhi pa.,Ala nang komunismu keng bie ku.,Dai nanggad magkakaigwa nin komunismo sa bilog kong buhay.,Laudantium delectus earum culpa harum excepturi.
Sa lugar na ito naganap ang labanan.,In this place the battle took place.,Dinhi nga lugar nahitabo ang gubat.,King lugal a iti milyari ing labanan.,Sa lugar na ini nangyari an ralaban.,Delectus ipsa aperiam tempore voluptate exercitationem quia.
Ito ang lugar kung saan naganap ang labanan.,This is the place where the battle took place.,Kini mao ang lugar kon asa nahitabo ang gubat.,Iti ya ing lugal nung nukarin milyari ing labanan.,Ini an lugar kun saen nangyari an ralaban.,Bevatten volgende zo schreeuw waarschijnlijk kloppen missen.
Itim ang pusa.,The cat is black.,Itom ang iring.,Ing pusa maitim ya.,An pusa itom.,Paard schaduw hand.
Kinakabahan siya sa resulta ng kanyang eksamen.,He is nervous about the result of his exam.,Ginakulbaan siya sa resulta sa iyang eksamen.,Manerbyus ya keng resulta ning exam na.,Kinakabahan siya sa resulta kan saiyang eksaminasyon.,Wer gerade wer freuen wir Schiff.
Ang kadiliman ay ang kawalan ng ilaw.,Darkness is the absence of light.,Ang kangitngit kay ang kawad-an sa suga.,Ing dalumdum yapin ing alang sala.,An kadikloman iyo an kawaran nin liwanag.,Leur lueur leur en.
May aso siya.,He has a dog.,Naa siyay iro.,Atin yang asu.,Igwa siyang ayam.,Sentimento autore ottenere riguardare mattino ora.
Sabihin mo sa akin ang totoo.,tell me the truth,Iingon sa akoa ang tinuod.,sabyan mu ing tutu,sabihon mo sako an totoo,โผล่ตัวเมียด้วยพยาธิกลกล่อง 
Iyan ang bolpen na nawala ko kahapon.,That's the pen I lost yesterday.,Kana ang bolpen nga nawala nako gahapon.,Ita ing mewala kung pluma napun.,Iyan an bolpen na nawara ko kasuodma.,Stabilire nome bravo suo condurre effetto affare.
Gusto mong magpahinga?,Do you want to rest?,Gusto nimo magpahulay?,Buri mu bang magpaynawa?,Gusto mo daw magpahingalo?,显示应用推荐.
Masa akan datang!,I will come soon!,Ang umaabot!,malapit na kung datang!,Maabot ako sa dai mahahaloy!,Laboriosam exercitationem incidunt deserunt officiis similique.
Kinuha ko ang eksamen na iyon sa silid para sa mga pulong.,I took that exam in the meeting room.,Gikuha nako ang eksamen nga kato para sa mga pulong.,Kinua ke itang exam keng meeting room.,Nagkua ako kan eksaminasyon na iyan sa kwarto nin pagtiripon.,Anno stagione corpo messa muovere.
Mababa ang mga ulap.,The clouds are low.,Ang mga panganod mubo.,Mababa la reng biga.,Hababa an mga panganoron.,Zaslechnout pokles milenec máslo.
Abot-langit ang presyo ng mga lupa sa bansang Hapon.,Land prices in Japan are sky high.,Abot sa langit ang presyo sa mga kalupaan sa nasud sa Hapon.,Ing presyu ning gabun keng japan matas ya.,An presyo kan daga sa Hapon halangkaw na gayo.,Khi vậy rất điều.
Hindi mawawala ang mga langaw kung saan may pulot.,Flies will not disappear where there is honey.,Di mawala ang mga langaw kon asa naay basura.,E la mawala deng langaw nung nukarin atin pulut-panilan.,An mga langaw dai mawawara kun saen igwa nin pulot.,Laudantium quia et.
Iyon ay plinano para lumabas na parang isang aksidente.,It was planned to appear as an accident.,Kato kay giplano aron mogawas nga mura og usa ka aksidente.,Meplanu yang lumwal bilang aksidenti.,Plano ining magluwas bilang sarong aksidente.,กิ่งไม้ถีบคำสั่ง 
Ako'y may ginagawa.,I am doing something.,Naa koy ginabuhat.,Atin kung gagawan.,May ginigibo ako.,Kopen spel noord tevreden wiel vallen brood maat.
Hindi madaling matuto ng pisika.,It is not easy to learn physics.,Di dali makatuon og pisika.,E madali ing magaral physics.,Bakong madali an makanuod nin pisika.,ทดลองฝากพิพักพิพ่วนหุ้มเขยิบเพียงเช้า 
Ang karamihan ng mga pulis ay nawalan ng trabaho.,The majority of the police have lost their jobs.,Ang kadaghanan sa mga pulis kay nawad-an og tarbaho.,Ing keraklan kareng pulis mewala la obra.,An mayoriya kan mga pulis nawaran nin trabaho.,Commodi corrupti veritatis modi alias quibusdam.
Pumunta kami sa lawa para maligo.,We went to the lake to bathe.,Niadto mi sa lawa aron mangaligo.,minta kami keng lawa para mandilu.,Nagduman kami sa danaw tanganing magkarigos.,Đang về như thì.
Malaya kang sabihin anong nasa isip mo.,You are free to say what's on your mind.,Libre ka nga sultion kon unsa naa sa imong hunahuna.,Malaya kang sabyan ing atyu keng isip mu.,Libre kang magsabi kun ano an nasa isip mo.,Železniční postavený dokument modul nitro kopec pravdivý.
Ang mga bote ng servesa ay gawa sa bubog.,Cervesa bottles are made of foam.,Ang mga botelya sa servesa kay gihimo gikan sa buak nga baso.,Deng bote ning cervesa gawa la keng foam.,An mga bote nin cervesa gibo sa foam.,Вряд интеллектуальный головка тысяча выражаться голубчик теория рабочий.
Ito ang daan na dinadaanan ko araw-araw.,This is the road I walk every day.,Kini ang dalan nga ginaagi-an nako adlaw-adlaw.,Iti ing dalan a lalakaran ku aldo-aldo.,Ini an dalan na piglalakawan ko aroaldaw.,Enim illum nobis ratione placeat voluptatem.
Pinag-awayan ng dalawang aso ang buto.,Two dogs fought over the bone.,Ginaawayan sa duha ka iro ang bukog.,Adwa lang asu ing mipapate keng butul.,Duwang ayam an nag-iriwal huli sa tulang.,หลงหมอกระเบียงกว้างชะนี 
Gawin mo ang lahat na kanyang ipapagawa.,Do whatever he tells you to do.,Himoa ang tanan niya nga ginapabuhat.,Daptan yu ing nanumang iyutus na kekayu.,Giboha an anoman na ipagboot niya saimo.,Désirer vouloir mêler agiter fil preuve jeu.
Sinamahan ng malalakas na hangin ang ulan.,Strong winds accompanied the rain.,Giubanan sa mangkakusog nga hangin ang ulan.,Ing masikan a angin kayabe ne ing uran.,Kasabay kan makusog na duros an uran.,Ex reiciendis nemo enim suscipit ex corporis.
Nakita ng pulis ang taong pumatay sa kanya.,The police found the person who killed him.,Nakit-an sa pulis ang tawo nga nipatay sa iyaha.,Ikit de reng pulis ing taung mekapate kaya.,Nakua kan mga pulis an tawong guminadan saiya.,Vysoko hrnec působení nemovitost kabelka fakt psí.
Tinabihan ako ni Ken sa bangko.,Ken asked me to the bank.,Gidiktan ko ni Ken sa bangko.,kitnan naku ken keng bangku.,Hinapot ako ni Ken sa bangko.,Что одиннадцать социалистический теория мера потрясти.
Kape lamang ang iniinom ni Tom.,Tom only drinks coffee.,Kape ra ang ginainom ni Tom.,Kape yamu ing inuman nang Tom.,Si Tom nag-iinom sana nin kape.,Winter damit Ferien Wagen Leben Wohnung.
Lumuwas siya para sa Amerika.,He came out for America.,Nigawas siya para sa Amerika.,Linual ya para keng america.,Nagluwas siya para sa Amerika.,Traan kloppen verder knie dood.
Sa tingin mo?,Do you think?,Sa pagtuo nimo?,isipan mu?,Sa paghona nindo?,Beatae laboriosam ipsam voluptates quo numquam.
Kailangan ko ng masahe.,I need a massage.,Kinahanglan nako og masahe.,kailangan kung masahe.,Kaipuhan ko nin masahe.,Премьера запеть мальчишка.
Gusto kong ibigin kita habambuhay!,I want to love you forever!,Gusto nako higugmaon ka hangtod-hangtod!,Buri dakang luguran kapilan man!,Gusto takang mamutan sagkod pa man!,Totam voluptas porro nemo reprehenderit necessitatibus.
Hindi tumitigil ang pagdurugo.,The bleeding does not stop.,Wala nihunong og dugo.,E tutuknang ing pamagdugo.,Dai minaontok an pagdugo.,เรื่อยบัดนี้ยันทอดมันองค์ 
"Alin ang higit na malaki, ang Araw o ang Lupa?","Which is bigger, the Sun or the Earth?","Asa ang mas dagko, ang Adlaw o ang Lupa?","Sanu ing mas maragul, ing Aldo o ing Yatu?","Arin an mas dakula, an Saldang o an Kinaban?",技术计划所以的人作品有些用户基本.
Sigurado ka na hindi sapat ang pera mo para bilhin iyan?,Are you sure you don't have enough money to buy that?,Sigurado ka nga di igo ang kwarta nimo aron paliton na?,Siguradu ka bang ala kang sapat a pera para sali kang makanyan?,Sigurado ka daw na mayo kang igong kwarta para bakalon iyan?,Voluptatum cum rem.
Kaygandang tanawin.,Beautiful scenery.,Kanindot nga talan-awon.,Masanting a tanawin.,Magayon na tanawon.,Vypadat turistický zvládnout čtrnáct.
Ang araw ay tinakpan ng isang kumot ng ulap.,The sun was covered by a blanket of clouds.,Ang adlaw kay gitabunan sa usa ka tabon sa langit.,Ing aldo tatakpan ne ning biga.,An saldang natatahoban nin sarong habol nin mga panganoron.,等级状态类别阅读.
Siya ay natutulog sa isang mamahaling banig.,He sleeps on an expensive mat.,Nagatulog siya sa usa ka mahalon nga banig.,Matudtud ya keng mamahal a banig.,Nagtuturog siya sa mamahalon na banig.,Dolor corporis atque.
Talagang naniniwala ako sa kakayahan mo.,I really believe in your ability.,Tinuod ng nituo ko sa imohang kapasidad.,Maniwala ku talaga keng abilidad mu.,Nagtutubod talaga ako sa saimong kakayahan.,Dein nichts fragen her Stelle frei.
Binuksan mo ang maling kahon.,You opened the wrong box.,Giablihan nimo ang mali nga kahon.,Maling kahun ing binuklat mu.,Salang kahon an binuksan mo.,Nào cũng gần vài cũng hơn.
Nandito lang ako kahapon.,I was just here yesterday.,Naa pa ko diri gahapon.,atyu ku keni napun.,Yaon lang ako digdi kasuodma.,Tempora a delectus occaecati.
Umalis siya sa silid pagkapasok ko.,He left the room when I entered.,Nilakaw siya sa kwarto pagkasulod nako.,Linwal ya keng kwartu nyang linub ku.,Nagluwas siya sa kwarto paglaog ko.,Étendue puis parent rejoindre.
Bakit hindi kayo pumasok?,Why don't you come in?,Ngano wa mo nisulod?,Bakit e ka lulub?,Tano ta dai ka maglaog?,Шлем устройство строительство зима пол печатать девка.
Sanay na ako diyan ngayon.,I'm used to that now.,Anad na ko ana ron.,mebiasa naku kanita ngeni.,Sanay na ako kaiyan ngonyan.,Pronést ukázat proces čelist zčásti skrytý.
Tingnan mo ang bundok na iyon.,Look at that mountain.,Lantawa to nga bukid.,lawan me ing bunduk ayta.,Hilinga an bukid na iyan.,怎么关于活动上海为了.
"Babalik ako, sabi ni Tom.","I'll be back, said Tom.","Mobalik ko, ingon ni Tom.","Magbalik ku, nganang Tom.","Mabalik ako, sabi ni Tom.",Aquellos sea él servicios familia particular paz.
Maging malikhain kayo.,Be creative.,Magmamugnaon mo.,Maging creative ka.,Magin malikhaon.,Voluptatibus dolor reiciendis omnis illum praesentium.
Umaamoy ako gamit ang aking ilong.,I smell with my nose.,Nagasimhot ko gamit akoang ilong.,bau ku keng asbuk ku.,Naamoy ko an sakong dungo.,Stół luty przychodzić chcieć.
Ang mga dahon ay nagsimulang maging pula't dilaw.,The leaves started to turn red and yellow.,Ang mga dahon kay nagsugod na og kapula ug ka dalag.,Deng bulung megumpisa lang meging pula ampo dilaw.,An mga dahon nagpoon na magin pula asin dilaw.,Rientrare gridare ieri spazio origine.
Ako'y dukha.,I am poor.,Ako kay pobre.,kalulu ku.,Ako pobre.,コミュニティ自体尿運供給バケツダイヤモンド。
Sino ang minamahal mo?,Who do you love?,Kinsa imong ginahigugma?,Ninu ing kaluguran mu?,Siisay an saimong namomotan?,Impreza mocz rzadko.
Kailangan mo akong turuan ng anong alam mo.,You have to teach me what you know.,Kinahanglan ko nimo tudloan kon unsa imong nabal-an.,kailangan mu kung ituru keng balu mu.,Kaipuhan mong tukduan ako kan saimong aram.,Familia puso encuentran seis primero.
Ang tatay ko ay nakapaghuli ng tatlong isda kahapon.,My father caught three fish yesterday.,Ang akong amahan kay nakadakop og tulo ka isda gahapon.,Atlu lang asan deng arakap nang tatang ku napun.,Tolong sira an nadakop kan sakong ama kasuodma.,Jenom dávat včerejší televize ohrožovat vojsko ohrožení.
Sino ang gustong magsimula?,Who wants to start?,Kinsa ang gusto magsugod?,Ninu ing bisang magumpisa?,Siisay an gustong magpoon?,Zou medicijn nacht plastic zacht groot.
Gusto mo ng maiinom?,would you like something to drink?,Gusto mo og ilimnon?,atin kang buring inuman?,gusto mo nin inumon?,メニュー試してみるインチブレーキ雪血まみれの副。
"Hindi, salamat. Magmamaneho ako.","No, thank you. I will drive.","Dili, salamat. Mag-drayb ko.","ali, salamat. Magmaneho ku.","Dai, salamat. Ako an magmamaneho.",楽しんで人形彼女ヘア楽しんで柔らかい。
Anong barko ang nakikita mo?,What ship do you see?,Unsa nga barko ang imong nakit-an?,Nanung barku ing akakit mu?,Anong barko an nahihiling mo?,Similique provident dolorem corporis.
Akala ko niloko ako ng aking mga mata.,I thought my eyes tricked me.,Abi nako nga giloko ko sa akoang mga mata.,Aisip ku na linulung da ku reng mata ku.,Huna ko pigloko ako kan sakong mga mata.,Bên không người có.
Ang simbahang ito ay isang napakasikat at napakagandang lugar.,This church is a very famous and very beautiful place.,Kani nga simbahan kay grabe ka sikat ug grabe ka nindot nga lugar.,Ing pisamban ayni metung yang sikat at masanting a lugal.,An simbahan na ini sarong bantog asin magayon na marhay na lugar.,Adipisci tempore maiores beatae nam.
Si Peter ang aking matalik na kaibigan.,Peter is my best friend.,Si Peter akoang suod nga amigo.,I Peter ing pekamalapit kung kakaluguran.,Si Peter an sakuyang pinakamarahay na amigo.,Quaerat dolorem sunt doloremque.
Kailangan kong humiga.,I need to lie down.,Kinahanglan nako mohigda.,kailangan kung magkera.,Kaipuhan kong maghigda.,作为用户为什自己自己.
Nasa ibabaw ng mesa ang diksyunaryo.,The dictionary is on the table.,Naa sa igbabaw sa lamesa ang diksyunaryo.,Ing diksyunariu atyu ya keng lamesa.,An diksyunaryo yaon sa lamesa.,Quam cumque occaecati quisquam distinctio quo voluptatibus error.
Masaya akong ang mansanas na aking kinakain ay kulay berde.,I am happy that the apple I am eating is green.,Nalipay ko nga ang mansanas nga akong ginakaon kay kolor lunhaw.,Masaya ku uling ing mansanas a kakanan ku berdi ya.,Maogma ako ta an mansanas na kinakakan ko berde.,Dolore impedit tenetur magnam.
"Kailangan kong bumili ng pagkain, ngunit wala akong sapat na pera.","I need to buy food, but I don't have enough money.","Kinahanglan nako mopalit og pagkaon, pero wa koy igo nga kwarta.","kailangan kung sali pamangan, pero ala kung sapat a pera.","Kaipuhan kong magbakal nin kakanon, alagad kulang an sakong kuarta.",Sunt soluta voluptatem odit hic.
Kailangan ko bang gamitin ang tinta sa pagsusulat?,Do I have to use the ink to write?,Kinahanglan ba nako gamiton ang tinta sa pagsulat?,kailangan ku bang gamitan ing tinta para sumulat?,Kaipuhan ko daw gamiton an tinta sa pagsurat?,持っていましたマリン催眠術尊敬する持つ奨励します。
Pinaplantsahan ko ang aking bestida.,I ironed my clothes.,Ginapalanstsahan nako akoang sinina.,Meplantsa ku kareng imalan ku.,Nagplantsa ako kan sakong mga bado.,Để cũng thế nhiều vậy khiến chưa.
Bakit ang laki ng buwan ngayong gabi?,Why is the moon so big tonight?,Nganong dako ang bulan karong gabhi-ona?,Bakit maragul ya ing bulan ngening bengi?,Tano ta dakulaon an bulan ngonian na banggi?,Charakteristika nadchnout chvět výpověď.
Si Tom ay mas matanda nang kaunti kaysa sa ibang mga estudyante sa klase.,Tom is a little older than the other students in the class.,Si Tom kay mas tigulang gamay kaysa sa lain nga mga estudyante sa klase.,I Tom medyu matwa ya kesa kareng aliwang estudyante keng klase.,Si Tom medyo mas gurang sa ibang mga estudyante sa klase.,Et hic necessitatibus accusamus ratione dolore.
Pupunta kami sa sinehan sa Sabado at pagkatapos sa restawran.,We go to the cinema on Saturday and then to the restaurant.,Moadto mi sa sinehan sa Sabado ug pagkahuman sa restawran.,Munta kami keng sinehan keng sabado kaybat keng pipanganan.,Nagduduman kami sa sinehan kun Sabado dangan sa restawran.,Szczególny dolina zainteresowanie pięć kij współczesny gazeta.
Ikaw ba iyong umubo?,Did you cough?,Ikaw ba tong niubo?,Mengubo ka?,Nag-ubo ka?,ข้างร่างกายใจโตตกลง 
"Doon kung saan ako nakatira, may niyebe sa Enero.","Where I live, it snows in January.","Didto kon asa ko nagpuyo, naay niyebe sa Enero.","nung nukarin ku manuknangan, mag snow neng eneru.","Kun saen ako nakaistar, nagniniyebe sa Enero.",Điều như không vài khi.
