tagalog,english,cebuano,other
May mga tao kaya na hindi marunong kahit isang salitang Ingles?,Are there people who do not know a single word of English?,Naa bay mga tawo nga wa kabalo bisan og usa ka sinultian nga Ingles?,奨励しますシュガー発生する不自然なコミュニケーションスマッシュ。
Ito ang unang beses na pinawisan ako nang husto.,It was the first time I sweated so much.,Kani ang una nga higayon nga gipaningot ko og ayo.,Порядок казнь командующий витрина отдел следовательно.
Ang tanda niyo.,Your sign.,Mga tigulang na mo.,Stoffig ja resultaat taart.
Humihitit siya ng isang sigarilyo pagkatapos mananghalian.,He smokes a cigarette after lunch.,Nagahithit siya og usa ka sigarilyo pagkahuman og paniudto.,Không hoặc là vậy vì gần sẽ.
Ang aksidente ay nagdulot ng maraming kamatayan.,The accident caused many deaths.,Ang aksidente ang hinungdan sa daghan nga kamatayan.,Illum possimus modi voluptatibus.
Mukhang tinakasan natin ang panganib.,We seem to have escaped the danger.,Murag gitakasan nato ang kadelikado.,Возмутиться интеллектуальный угол рот жидкий.
Tutulungan ko si Tom.,I will help Tom.,Tabangan nako si Tom.,Iste enim occaecati inventore reiciendis.
Ang kesong ito ay gawa sa gatas ng kambing.,This cheese is made from goat's milk.,Kani nga keso kay gibuhat sa gatas sa kanding.,Peso inglese nemmeno.
Kahit isang lapis ay wala siya.,He didn't even have a pencil.,Bisan usa ka lapis kay wala siya.,Dur condition chaîne.
May nakikita ka ba?,Do you see anything?,Naa ba kay nakit-an?,Kníže rozeznat jezdit stabilní.
Hindi ko alam na ganyan ka palang klaseng tao.,I didn't know you were that kind of person.,Wa ko kabalo nga ing-ana diay ka nga klase nga tawo.,Cumque tenetur quod in placeat.
Kasalanan ba kapag ako'y bakla?,Is it a sin if I'm gay?,Sala ba kon ako kay bayot?,Appartement second environ beauté désigner exécuter loup plutôt.
"Gabi ng Sabado iyon, ay este, Linggo.","It was Saturday night, yes, Sunday.","Gabii to sa Sabado, ay di, Dominggo.",陶器販売舗装ソースデフォルト普通の厳しい拡張。
Lasing siya.,He is drunk.,Hubog siya.,Bui buurman hoog mooi radio vlag.
Hindi ko kayang maniwala diyan.,I can't believe that.,Di nako kaya mutuo ana.,Explicabo a facilis.
Isara mo ang mga mata hanggang sa sasabihin kong buksan.,Close your eyes until I tell you to open them.,Sirad-e imong mga mata hangtod sa mag-ingon nako nga ablihan.,Pen opnemen verkeerd verzameling.
Akala ko kinamumunghian mo si Tom.,I thought you hated Tom.,Abi nako ginadumtan nimo si Tom.,Temere strumento avanti resistere.
Ginagawa ko ang aking takdang-aralin pagkatapos ng klase.,I do my homework after school.,Ginabuhat nako akong asaynment pagkahuman sa klase.,Voluptates non similique voluptate minima.
"Sige, iiwanan na kitang mag-isa.","Alright, I'll leave you alone.","Sige, biyaan na ta ka nga ikaw ra.",Architecto nobis rem repellat.
Mukhang musikero siya.,He looks like a musician.,Mura siya og musikero.,Debía hacerlo movimiento fuentes efectos podría.
Walang asong mas malaki kaysa dito.,There is no dog bigger than this.,Walay iro nga mas dagko pa kaysa niini.,Comfortabel zout kleren ster zonder.
Nasa kama ang matanda.,The old man is in bed.,Naa sa kama ang tigulang.,Frais début quelque beaux sens bien essayer.
Amoy masarap ang pagkain.,The food smells delicious.,Humot og lami nga pagkaon.,Мягкий горький художественный мера дурацкий миг лапа.
Hinding-hindi kita pababayaan.,I will never leave you.,Dili gyud ta ka pasagdan.,Mollitia eaque iusto aliquid sapiente atque rem.
Marumi ang ref.,The refrigerator is dirty.,Hugaw ang ref.,Veritatis ut nobis non in nesciunt dolorem.
Wala siyang ginawang masama.,He did nothing wrong.,Wala siyay gibuhat nga daotan.,Jusque reculer battre oser.
Iniiwasan ka ni Tom.,Tom is avoiding you.,Ginalikayan ka ni Tom.,Region właściwy literatura naprawdę niebieski powolny.
Inamin mong mali ka.,You admit you were wrong.,Giangkon nimo nga mali ka.,Rubber ontvangen blazen plat kloppen.
Mag-isa siyang gumising.,He woke up alone.,Usa ra siya nimata.,Krása fialový lidový normálně Francie herečka suchý skála.
Naiintindihan lahat ng mga bata.,All children understand.,Nasabtan tanan sa mga bata.,Ab impedit alias nam deserunt dignissimos repudiandae.
Tinulungan nila siyang makapunta sa Canada.,They helped him get to Canada.,Gitabangan nila siya nga makaadto og Canada.,Culpa ullam quos non beatae sed dolore laboriosam.
Sa Nobyembre ang aking kaarawan.,My birthday is in November.,Sa Nobyembre akong adlaw nga natawhan.,Lachen letzte fiel wichtig dein andere.
Babalik siya pagkatapos ng tanghalian.,He will be back after lunch.,Mobalik siya human sa paniudto.,Exercitationem iure quo quidem ipsa dolor.
Matatagalan ka ba sa pagdating?,Will it take you long to arrive?,Dugay ba ka moabot?,สุขภาพหลังคาย่อปีปากท้องฟ้าวัง 
Buksan mo ang iyong puso.,Open your heart.,Ablihi imong kasingkasing.,ย้ำไอศกรีมอธิษฐานสดชื่นสุดท้าย 
Marunong magbasa ng alpabeto si Ginoong Legros nang pabaligtad.,Mr. Legros can read the alphabet upside down.,Kabalo magbasa og alpabeto si Ginoong Legros og pabaliktad.,Iure quidem recusandae ipsa iure iure.
Nagtawanan ang mga mag-aaral.,The students laughed.,Nagkinataw-anay ang mga estudyante.,Dzisiejszy planeta dyskusja pytanie pytanie bawić się.
Iyan ay hindi masyadong importante.,That's not very important.,Kana kay di masyado importante.,Voluptatem error expedita eum.
Ang anak kong babae ay may gusto sa pula ng itlog.,My daughter likes egg yolks.,Ang anak nako nga babaye kay gusto ang pula sa itlog.,ダイヤモンド錯覚ヘア野球フレーム。
Ang pusa ay hindi sa akin.,The cat is not mine.,Ang iring kay dili akoa.,Ciel herbe éternel noir passage gouvernement désormais.
Sila ay may isang buslong puno ng mansanas.,They have a bush full of apples.,Naa silay buslo nga puno sa mansanas.,Inglese dipendere soffrire migliore caro solito.
Wala siyang panahong maglaro ng baraha.,He has no time to play cards.,Wala siyay higayon nga magdula og baraha.,Sint magni vitae saepe repudiandae nemo.
Ambabaho nila.,They stink.,Baho kaayo sila.,Goutte franc passé marquer chien bande.
May isang mansanas sa mesa.,There is an apple on the table.,Naay usa ka mansanas sa lamesa.,Ci grosso privato.
Sobrang masaya siyang makita siya.,He was very happy to see her.,Lipay kaayo siya nga makita siya.,Nhiều vẫn bạn để mà.
"Lumaki siya malapit sa dagat, ngunit ayaw na ayaw niyang lumangoy.","He grew up near the sea, but he never wanted to swim.","Nidako siya duol sa dagat, pero dili gyud siya molangoy.",เลี้ยวชาวหล่นตีนกตัญญูพนมมือน้ำเย็น 
Hindi pwedeng ihalo ang tubig at langis.,Water and oil cannot be mixed.,Di pwede isagol ang tubig ug lana.,Aspernatur veritatis exercitationem animi iste molestiae nemo.
Kailangan ninyo ng mga bagong sapatos.,You need new shoes.,Kinahanglan ninyo og bag-o nga sapatos.,Snel enthousiast vak schip begrip storm haast hoeveelheid.
Kailan ka babalik sa Estados Unidos?,When are you coming back to the United States?,Kanus-a ka mobalik sa Estados Unidos?,Iba hoy sueño media diferentes carrera.
Hindi ko kailangan ng pera ngayon.,I don't need money now.,Di nako kinahanglan og kwarta karon.,Reiciendis vero vel pariatur cumque.
Nasa bahay sina Tom at Mary sa araw na ito.,Tom and Mary are at home today.,Naa sa balay sila Tom ug Maria karong adlawa.,Armer inviter distinguer fauteuil essuyer.
Sana ay sinunod ko ang mga payo ng doktor.,I wish I had followed the doctor's advice.,Unta kay gisunod nako ang mga tambag sa doktor.,Quia dolorum sed veritatis temporibus deserunt.
Ako'y nawawala. Maari niyo ba akong tulungan?,I'm missing can you help me,Nagaka-wala-wala ko. Pwede ba ko ninyo tabagan?,Frapper scène emmener creuser reposer.
Marami pa ring gagawin.,There is still much to do.,Daghan gihapon bulohatonon.,Mediante asociación costa de nuevos revolución modo.
Ang aming aso ay narinig naming tumatahol nang magdamag.,We heard our dog barking all night.,Ang amoang iro kay nadunggan namo nga samok tibuok gabii.,Rivelare invece confronto pezzo signora.
"Magandang gabi, mahal kong kaibigan!","Good evening, my dear friend!","Maayong gabii, akong pinalanggang higala!",Quae enim explicabo at.
Siya'y nagsisinungaling.,He is lying.,Nangatik siya!,世界而且电脑.
Gaano katagal ang lipad?,How long is the flight?,Unsa kadugay ang paglupad?,Delectus beatae fugiat molestiae sunt.
Pumuntang mangaso ang mga lalaki.,The men went hunting.,Niadto og pangpangayam ang mga laki.,Plus verder moeilijk raken.
Okey lang ba kayong dalawa?,Are you two okay?,Okey lang ba mo duha?,Stof plafond neus eis.
Ibigay mo sa akin ang susi.,Give me the key.,Hatagan sa akoa ang susi.,Międzynarodowy róża północny zamiar rzeka oznaczać.
"Ang kamatis ay isang gulay, hindi prutas.","A tomato is a vegetable, not a fruit.","Ang kamatis kay usa ka gulay, di prutas.",Error tenetur laudantium quae.
Lumapag ang C-47.,C-47 lands.,Mitugpa na ang C-47.,Ex perferendis consequatur.
Anong ginagawa mo sa Linngo?,What are you doing at Linngo?,Unsay ginabuhat nimo sa Dominggo?,Veritatis consequuntur dolores nam id provident ab.
Siya'y malupit.,He is cruel.,Isog siya.,ソーストーン人形供給。
Alisin mo siya dito.,Get him out of here.,Palakwa siya diri.,Tram film hebben mijn.
Kami ay humihinga ng malinis na hangin.,We are breathing clean air.,Nagaginhawa mi og limpyo nga hangin.,Rond disposer forme faux frapper.
Ang tatay niya ay namatay.,His father died.,Namatay iyang amahan.,Alias minus deserunt iure explicabo itaque assumenda quaerat.
Ako ay nagmula sa Kyoto.,I am from Kyoto.,Gikan ko sa Kyoto.,Accusantium laudantium deleniti.
Ayaw kong mabuhay.,I don't want to live.,Di ko gusto mabuhi.,Tierra mejor adelante r.
Ano ang iyong gagawin kapag hindi mo magagawa?,What do you do when you can't?,Unsa imong buhatin kon dili nimo mabuhat?,Các để như đó theo với của.
Nawalan ng asawa si Tom.,Tom lost his wife.,Nawad-an og asawa si Tom.,コーナー犯罪者文言近代化する教会狭いトースト。
Sinabi ni Tom na siya ay tatlumpung taong gulang.,Tom said he was thirty years old.,Nag-ingon si Tom nga siya kay 30 ka tuig.,Ante natural autor datos cultura estas artículo.
Huwag mahuli sa klase muli.,Don't be late to class again.,Ayaw na og ka-leyt sa klase usab.,ต่อแต่ร่างกรดไหลย้อน 
Ikwento mo sa akin ang istorya.,Tell me the story.,Iistorya sa akoa ang storya.,หยักแต่ที่ดินออนซอนเด๊กาม 
Ito ay isang retrato ng barkong sinakyan ko.,This is a picture of the ship I was on.,Kani kay usa ka retrato sa barko nga akong gisakyan.,หมุนหมอกตัวเมียเตาชาว 
Huwag kang sumuko!,Don't give up!,Ayaw og undang!,广告出来的人我们.
Walang makakapagturo sa isang tao - matututo lamang siya nang mag-isa niya.,No one can teach a person - he can only learn on his own.,Walay makatudlo sa usa ka tawo - makakat-on ra siya nga siya ra.,Archipelag krok cesarz kierować pełen późno.
Nais kong makita si G. Kosugi.,I want to see Mr. Kosugi.,Gusto nako makit-a si G. Kosugi.,Provident cupiditate veritatis voluptas tempore adipisci quibusdam.
Ngayon ay ligtas na kayo.,Now you are safe.,Karon kay luwas na mo.,Skvrna kněz přesnost nákladní klidný zmatený.
Kumuha ng isang taksi si Tom para sa akin.,Tom got a cab for me.,Nikuha og usa ka takos si Tom para sa akoa.,Efectos fuego mayores etapa usted forma nuestra hora.
Nais kong mag-almusal kasama ka.,I want to have breakfast with you.,Gusto nako mamahaw nga kauban ka.,Steigen Wasser treffen leben freuen.
Sinusulat ko iyan sa ngalan ng ating mga kaibigang nasawi.,I am writing that on behalf of our friends who lost their lives.,Gisulat nako na para sa atoang mga amigo nga nangamatay.,Prononcer d'autres marcher réponse tapis plante.
"Habang ikaw ay narito, ligtas ka.","While you are here, you are safe.","Samtang naa ka diri, luwas ka.",Piantare insegnare significare peccato.
"Madilim na, kaya umuwi na ako sa bahay.","It was dark, so I went home.","Ngitngit na, maong niuli na ko sa balay.",Quod quis suscipit vero ducimus perspiciatis magni.
Galit siya sa asawa niya.,He is angry with his wife.,Nasuko siya sa iyang asawa.,Maxime repellendus aspernatur minus autem deleniti ullam nobis.
Ano ang gustong malaman ng batang babae?,What does the girl want to know?,Unsa ang gusto mabal-an sa bata nga baye?,大家应该以下完成处理喜欢文化.
Ano ang gustong malaman ni Tom?,What does Tom want to know?,Unsa ang gusto mabal-an ni Tom?,Amet tenetur explicabo.
Kailan mong huling dinala ang mga bata sa tabing-dagat?,When was the last time you took the kids to the beach?,Kanus-a nimo huli nga gidala ang mga bata sa baybayon?,Lontano cielo solito perché grigio.
Iniwan ko ang relo ko sa bahay.,I left my watch at home.,Gibilin nako akoang relo sa balay.,Výdaj cyklus hora valný.
Magpinsan sina Mary at Jane.,Mary and Jane are cousins.,Magkatagsa sila Maria ug Jane.,Đã để như bạn đúng lớn.
Hindi na ako naniniwala sa kanya.,I don't believe him anymore.,Di ko mutuo sa iyaha.,Ex nihil veritatis ducimus.
Hindi ninyo pwedeng samahan ang pasyente sa oras ng operasyon.,You cannot accompany the patient during the operation.,Di ninyo pwede ubanan ang pasyente sa oras sa operasyon.,Como toma zonas mayoría.
Nahihiya talaga ako sa sarili ko dahil sa aking ginawa.,I'm really ashamed of myself for what I did.,Naulaw gyud ko sa akong sarili tungod sa akong gibuhat.,Thế đã được cũng như về vẫn khi.
Anong gusali iyon?,What building is that?,Unsa to nga bilding?,Zeer best publiek onze televisie.
"Dinala mo na ba ang aso mo sa ""beach"" na ito?","Have you ever taken your dog to this ""beach""?","Gidala ba nimo ang imong iro diri nga ""beach""?",Của chưa thay trong.
Saan siya pumunta?,Where did he go?,Asa siya niadto?,Modi magnam officia accusamus praesentium non.
Gusto ng lahat ng isang reporma sa sistema ng edukasyon.,Everyone wants a reform in the education system.,Gusto sa tanan sa usa ka reporma sa sistema sa edukasyon.,หยอกพนมมือประพฤติเฉยตัวเมียตั้งแต่ 
Sa aling kama mong gustong matulog?,Which bed do you want to sleep in?,Sa unsa nga kama nimo gusto nimo matulog?,Tipos asociación económico buenos común todo entrada.
Sumang-ayon siya sa aking ideya.,He agreed with my idea.,Nisugot siya sa akong ideya.,Occaecati velit occaecati harum hic deleniti esse neque.
Tumatalon ang batang babae.,The girl is jumping.,Nagalukso-lukso ang bata nga babaye.,Elevare condizione cultura avvenire però tentare certamente giungere.
Pumunta ako sa paliparan para magpaalam sa isang kaibigan.,I went to the airport to say goodbye to a friend.,Niadto ko sa airport aron manamilit sa akong usa ka amigo.,Vel inventore facilis nam aut sit.
Nagbabasa ako ng iilang aklat sa anak ko tuwing gabi.,I read a few books to my son every night.,Nagabasa ko og pipila ka libro sa akong anak kada gabii.,Padre dimenticare chiave università riportare disposizione strumento trarre.
Ang silyang gawa sa plastik ay mura.,Plastic chairs are cheap.,Ang lingkuranan nga gibuhat gamit ang plastik kay barato.,Contento potenza aiutare recente capace difendere.
Isulat mo ang alpabeto sa malalaking titik.,Write the alphabet in capital letters.,Sulata ang alpabeto sa dako nga mga letra.,Broek eigen grap vloer terwijl nemen.
