tagalog,english,cebuano,kapampangan,bicolano
Papatayin ako ng aking asawa.,My husband will kill me.,Patyon ko sa akong asawa.,Paten na ku ning asawa ku.,Gagadanon ako kan sakong agom.
Ang araw na ito ay napakainit.,Today is very hot.,Kini nga adlaw kay init kaayo.,Masyadu yang mapali ing aldo ngeni.,Mainit na marhay ngonian na aldaw.
Kwentuhan mo pa kami.,Tell us more.,Istoryahi pa mi.,Sabyan mu pa kekami.,Magsabi ka pa.
Parang hindi nag-kokonek ang printer sa kompyuter ko.,The printer doesn't seem to connect to my computer.,Murag dili nakakonek ang printer sa akong kompyuter.,Balamu ali ya makakonekta ing printer keng computer ku.,An printer garo dai nakakonekta sa sakuyang kompyuter.
Anong higit na mahalaga?,What is more important?,Unsa ang labaw nga importante?,Nanu ing mas maulaga?,Ano an mas mahalaga?
Hindi nagbibigay ng gatas ang aming baka.,Our cow does not give milk.,Wala nagahatag og gatas ang among baka.,E ya mamye gatas ing baka mi.,An samong baka dai nagtatao nin gatas.
Ito ang kailangan ko.,This is what I need.,Mao kini ang akong gikinahanglan.,Iti ing kailangan ku.,Ini an kaipuhan ko.
Hindi masyadong nakilala ni Tom si Mary.,Tom didn't know Mary very well.,Wala kaayo nailhan ni Tom si Mary.,E ne balu Tom i Mary.,Dai gayong midbid ni Tom si Mary.
Wala ako sa pagpupulong.,I'm not in the meeting.,Wala ko nitungha sa panagtapok.,ala ku keng meeting.,Mayo ako sa miting.
May masasamang balita ako para sa iyo.,I have bad news for you.,Aduna koy dili maayo nga balta pra sa imoha.,Atin kung e masanting a balita keka.,Igwa akong maraot na bareta para saimo.
Hindi nila alam kung anong gagawin sa kanya.,They didn't know what to do with him.,Wala sila kabalo unsa ang buhaton sa iyaha.,E ra balu nung nanu ing daptan da keya.,Dai ninda aram kun ano an gigibohon sa saiya.
Wala akong pasensya.,I have no patience.,Wala nako'y pasensya.,Ala kung pasensya.,Mayo akong pasensya.
Dinilaan niya ang kanyang mga labi.,He licked his lips.,Gitilapan niya ang iyang wait.,Dinilaan no reng labi na.,Dinilaan niya an saiyang mga ngabil.
Itinanggol nila ang kanilang bansa.,They defended their country.,Gidepensahan nila ang ilang nasud.,Dipensa de ing karelang bansa.,Idinepensa ninda an saindang nasyon.
Ako ay tumalon mula sa kama.,I jumped out of bed.,Niambak ko gikan sa katre.,linundag ku keng kama.,Naglukso ako hale sa higdaan.
Huwag kang mag-alala.,Don't worry.,Ayaw og kaguol.,Eme iisipan.,Dai maghandal.
Narinig kong kumukulekta ka rin ng mga selyo.,I heard you also collect stamps.,Nahibal-an nako nga nagakolekta pud ka og mga selyo.,Abalitan ku magkolekta ka rin stamps.,Nadangog ko na nagkokolekta ka man nin mga selyo.
Hindi lamang tayo ang naniniwalang siya ay ang maysala.,We are not the only ones who believe he is the culprit.,Dili lang kita ang nagatuo nga siya ang adunay sala.,Aliwa mu itamu ing maniwala na ya ing salarin.,Bako lang kita an nagtutubod na siya an may sala.
Marunong ka bang gumawa ng mga plaskards?,Do you know how to make plaskards?,Hawod ka ba mobuhat og mga plaskards?,Balu mu bang gawang plaskards?,Aram mo daw maggibo nin mga plaskard?
Gusto ni Tom ng mga ebidensya.,Tom wants evidence.,Ganahan si Tom makakuha og ebidensya.,Buri nang Tom ing ebidensya.,Gusto ni Tom nin ebidensya.
May bolpen ako.,I have a pen.,Aduna ko'y bolpen.,Atin kung pluma.,Igwa akong bolpen.
Sipain mo siya!,Kick him!,Sudli siya!,Sipaan me!,Sipaon mo siya!
Wala kayong ni isang ebidensya.,You don't have a single piece of evidence.,Wala mo'y usa ka pagpamatuod.,Ala kang metung mang ebidensya.,Mayo ka ni sarong ebidensya.
Higit na mahalaga ang kalusugan kaysa kayamanan.,Health is more important than wealth.,Mas labaw nga importante ang kahimsog kaysa sa ubang butang.,Mas maulaga ing kalusugan kesa king pibandyan.,An salud mas mahalaga kisa kayamanan.
"Gusto ko sanang pumunta, ngunit wala akong kotse.","I would like to go, but I don't have a car.","Gusto unta ko mo-adto, kaso wala ko'y sakyanan.","Buri ku sanang munta, pero ala kung saken.","Gusto kong magduman, alagad mayo akong kotse."
Marami pang gagawin.,There is more to do.,Daghan pa og buhatunon.,Atin pang dapat gawan.,Igwa pa nin dapat gibohon.
Ngunit bakit mo itatago ang iyong pag-ibig mula sa kanya?,But why would you hide your love from him?,Pero nganong gilo-im mo ang imong paghigugma para sa iyaha?,Pero ot isalikut me ing lugud mu kaya?,Alagad taano ta itatago mo saiya an saimong pagkamoot?
Ang tao ay namamatay.,The man is dying.,Ang tao kay mangamatay.,Ing lalaki mamamate ya.,An lalaki nagagadan.
Napakalawak ng Karagatang Pasipiko.,The Pacific Ocean is vast.,Lapad kaayo ang Dagat Pasipiko.,Malawak ya ing Karagatang Pasipiku.,An Kadagatang Pasipiko mahiwas.
Napakahaba ng iyong buhok.,Your hair is very long.,Taas kaayo ang imong buhok.,Makaba ya ing buak mu.,An saimong buhok halawig na gayo.
Buong araw akong nagtrabaho kahapon.,I worked all day yesterday.,Tibuok adlaw ko nagtrabaho kagahapon.,Megobra kung mabilug a aldo napun.,Nagtrabaho ako nin bilog na aldaw kasuodma.
Buti pa kaya ay iwan mong mag-isa si Tom.,You better leave Tom alone.,Mas maayo pa siguro biyaan nimo nga mag-inusara si Tom.,Mas masanting ing paburen meng magdili-dili i Tom.,Mas marahay na pabayaan mo si Tom.
Kailangan kita rito.,I need you here.,Kinahanglan ka diri.,kailangan daka keni.,Kaipuhan taka digdi.
Huwag mo siyang parusahan.,Don't punish him.,Ayaw siya paantosa.,E me parusan.,Dai mo siya pagpadusahan.
Wala siyang kasalanan.,He is not guilty.,Wala siya'y sala.,Ala yang kasalanan.,Mayo siyang sala.
Ang bunso kong kapatid na lalaki ay natutulog pa rin.,My youngest brother is still sleeping.,Ang akong kinamanghuran nga igsuong lalaki kay natulog pa gihapon.,Matudtud ya pa ing bungsu ku.,An bunso kong tugang na lalaki nagtuturog pa.
Nag-aaral kami ng Pranses.,We are learning French.,Nagatuon kami og Pranses.,Magaral kaming French.,Nag-aadal kami nin Pranses.
Ang bahay niya ay malapit sa ilog.,His house is near the river.,Ang iyang balay duol sa sapa.,Lele ilug ing bale na.,An saiyang harong harani sa salog.
Kayo ay umuunlad.,You are progressing.,Naga-asenso kamo.,Sumulung ka.,Nag-uuswag ka.
Ang hinlalaki ng paa ko ay nag-umpisang magdugo.,My big toe started bleeding.,Ang kumagko sa akong mga tiil kay nagasugod og dugo.,Ing maragul kung bitis megumpisa yang medugo.,An sakuyang dakulang moro nagpoon na magdugo.
Pinuno ni Tom ang kahon ng mga pagkain.,Tom filled the box with food.,Gipuno ni Tom ang mga kahon og mga pagkaon.,Kitmuan neng Tom ing kahun keng pamangan.,Pinano ni Tom nin kakanon an kahon.
Hindi pa pumunta rito ang mamang kartero.,The postman hasn't been here yet.,Wala pa ni-adto diri ang tao nga nagahatod og mga sulat.,E ya pa miras keni ing karteru.,Dai pa digdi an kartero.
Pinaputol niya ang kanyang buhok.,He cut his hair.,Ginaputol niya ang iyang buhok.,Pinutut ne ing buak na.,Giguntingan niya ang iyang buhok.
Maaari mo bang i-email iyan?,Can you email that?,Mamahimo mo ba kanang i-e-mail?,Malyari meng i-email ita?,Pwede mo daw iyan i-email?
Tapos mo na bang basahin ang dyaryo?,Have you finished reading the newspaper?,Humana ba ka'g basa sa mantalaan?,Meyari na ka bang mamasa king dyaryu?,Natapos mo na an pagbasa kan dyaryo?
Hindi ako sigurado kung kailan ang balik niya.,I'm not sure when he'll be back.,Dili ko makasiguro kung kanus-a siya makabalik.,Eku siguradu nung kapilan ya magbalik.,Dai ko sigurado kun nuarin siya mabalik.
Hindi ko mahanap ang baon ko.,I can't find my pocket.,Dili nako makit-an ang akong baon.,Eku akit ing bulsa ku.,Dai ko mahanap an sakuyang bulsa.
Siya ay may bigat na pitumpung kilo.,He weighs seventy kilograms.,Siya adunay kabug-atong nga sitenta ka kilos.,Pitu yang pulung kilu ing timbang na.,Pitong polong kilo an timbang niya.
Bakit kaya ginagawa ni Tom iyan?,Why is Tom doing that?,Ngano kaha ginabuhat kana ni Tom?,bakit gagawan neng tom ita?,Tano ta ginigibo iyan ni Tom?
Paumanhin hindi namin kayo matutulungan.,Sorry we can't help you.,Pasensya pero dili mi makatabang sa inyoha.,Pasensya na po ali kami makasaup kekayu.,Pasensya na dai mi kamo matatabangan.
Pinatay lahat ni Betty.,Betty killed everyone.,Gipatay tanan ni Betty.,Pepate neng Betty ing sabla.,Ginadan ni Betty an gabos.
Sana ay makahanap na ng solusyon sa AIDS ang mga siyentipiko sa madaling panahon.,Hopefully scientists will find a solution to AIDS soon.,Unta makakita na og tambal ang mga nag-istudyo nga doktor sa sakit nga AIDS sa mas paspas nga panahon.,Sana deng siyentipiku akit da ing solusyun keng AIDS keng malapit a panaun.,Sana an mga siyentipiko makahanap nin solusyon sa AIDS sa dai mahahaloy.
Pasok ka rito.,Come in here.,Sulod ka diri.,Lungub ka keni.,Maglaog ka digdi.
Wala kami sa bahay kahapon.,We were not at home yesterday.,Wala mi sa balay kagahapon.,Ala kami keng bale napun.,Mayo kami sa harong kasuodma.
Gusto niyang makita kang patay.,He wants to see you dead.,Gusto siya makakita og patay.,Buri na kang akit mete.,Gusto niyang mahiling kang gadan.
Siya ay nabulag.,He was blinded.,Nabuta siya.,Mebulag ya.,Nabuta siya.
Siya ay tinawanan ng ibang mga batang lalaki.,He was laughed at by the other boys.,Gikataw-an siya sa uban nga lalaking bata.,Tinawa ya kareng aliwang lalaki.,Pinagngisihan siya kan ibang mga lalaki.
Sa Osaka ako ipinanganak.,I was born in Osaka.,Sa siyudad sa Osaka ako gipanganak.,Mibait ku king Osaka.,Namundag ako sa Osaka.
Aling ahas ang pinakamatulin sa buong mundo?,Which snake is the fastest in the world?,Unsa nga bitin ang pinakapaspas mokamang sa tibuok kalibutan?,Ninung ulad ing peka mabilis keng yatu?,Arin na halas an pinakamarikas sa kinaban?
Hindi ko siya napansin.,I didn't notice him.,Wala nako siya nabantayan.,Eke apansinan.,Dai ko siya nariparo.
Hindi ninyo kailangang magpunta sa paaralan ngayon.,You don't have to go to school today.,Dili ninyo kinahanglan moadto sa eskwelahan karon.,Emu kailangan munta keng eskwela ngeni.,Dai mo kaipuhan magduman sa eskwelahan ngunyan.
Ang pulisya ay hindi nakahanap ng kahit anong ebidensya ng kanino man.,The police did not find any evidence of anyone.,Ang mga pulis kay wala nakakita og bisag unsa nga butang aron makapagpamatuod nga sila ang naa'y sala.,Ala lang ikit a ebidensya deng pulis nung ninu man.,An mga pulis mayo nin nakuang ebidensya nin siisay man.
Isang ilog ang humahati sa lungsod.,A river divides the city.,Usa ka sapa ang nagapikas sa siyudad.,Metung a ilug ing makapitna king siudad.,Sarong salog an nagbabaranga kan siyudad.
"Oo, tinulungan ako ni Bob.","Yes, Bob helped me.","Oo, gitabangan ko ni Bob.","Wa, sinaup ya kanaku i Bob.","Iyo, tinabangan ako ni Bob."
"Wala kang kahit anong halaman o hayop, hindi ba?","You don't have any plants or animals, do you?",Wala ka'y bisag unsa nga tanom o hayop?,Ala kang tanaman o animal ne?,"Mayo kamong mga tinanom o hayop, bako?"
Ikaw ay nagsusuot ng mamahaling mga hikaw.,You wear expensive earrings.,Nagasuot ka og mahal nga aryos.,Magsuot kang mamahal a hikaw.,Nagsusulot ka nin mamahalon na mga hikaw.
"Paumanhin, huwag kang sumigaw!","Sorry, don't shout!","Mohangyo ko, ayaw lang og siyagit!","Pasensya na, wag kang gugulisak!","Pasensya na, dai ka magkurahaw!"
Magaling magluto ang aking nanay.,My mother is a good cook.,Hawod magluto ang akong inahan.,Mayap yang maglutu i ima ku.,An sakuyang ina sarong marhay na paraluto.
Kasal pa ba kayo?,Are you still married?,Kasal ba gihapon mo?,Tasal ka pa?,May agom ka pa daw?
Ang mga bagay na nangyari ay nakaraan na.,Things that happened are in the past.,Ang mga panghitabo kay nahuman na.,Deng bage a milyari atyu la keng milabas.,An mga bagay na nangyari nakaagi na.
Ang kanyang kapatid na lalaki ay nawala sa lungsod.,His brother has disappeared from the city.,Nawala ang iyang igsuon nga lalaki sa siyudad.,Ing kapatad na mewala ya keng siudad.,An saiyang tugang na lalaki nawara na sa syudad.
"Sa susunod na taon, ang aking kaarawan ay sa isang Linggo.","Next year, my birthday will be on a Sunday.","Sa musunod nga tuig, ang akong adlawng natawhan kay naa sa adlaw nga Dominggo.","keng daratang a banua, ing aldo kebaitan ku keng aldo domingo.","Sa masunod na taon, Domingo an sakuyang kumpleanyo."
Gusto ni Tom ng reggae.,Tom likes reggae.,Ganahan si Tom og raggae.,I Tom buri ne ing reggae.,Gusto ni Tom an reggae.
Iyan ay nasa kamay ng Diyos.,That is in God's hands.,Kana kay anaa sa kamot sa Ginoo.,Atyu ita king gamat ning Dios.,Iyan nasa kamot nin Dios.
"Maaari, pumunta ka rito eksaktong alas 3.","Yes, come here exactly at 3 o'clock.","Kung maayo, umari ka diri sa eksaktong alas sais","wa, munta ka keni eksaktung alas tres.","Iyo, magdigdi ka eksakto sa alas 3."
Ang Bundok Fuji ay halos apat na beses higit na mataas kaysa sa Bundok Rokko.,Mount Fuji is about four times higher than Mount Rokko.,Ang Mount Fuji hapit upat ka pilo nga mas taas kaysa kanhing Mount Rokko.,Ing Bunduk Fuji apat yang besis katas kesa keng Bunduk Rokko.,An Bukid nin Fuji mga apat na beses na mas halangkaw kisa sa Bukid nin Rokko.
Alam mo bang tumira nang 10 taon sa Moscow si Julia?,Did you know that Julia lived in Moscow for 10 years?,Kahibalo ba ka nga si Julia nning puyo sa Moscow ug 10 ka tuig?,balu mu ba na i julia menuknangan ya keng moscow kilub ning 10 banua?,Aram mo daw na si Julia nag-istar sa Moscow sa laog nin 10 taon?
Kung kaya napakagaling niyang magsalita ng ruso.,That's why he speaks Russian very well.,Mao nga maayo kaayo siya mo storya ug Ruso.,Inya pin masanting yang magsalitang Russian.,Iyan an dahilan kun tano ta marahay siyang magtaram nin Ruso.
"Si Antoine Lavoisier ay namatay sa Paris, Pransya.","Antoine Lavoisier died in Paris, France.","Si Antoine Lavoisier kay ning panaw sa Paris, Pransya.","Antoine Lavoisier mete ya king Paris, France.","Si Antoine Lavoisier nagadan sa Paris, Pransya."
Ano ang dahilan?,What is the reason?,Unsa ang hinungdan?,Nanu ing sangkan?,Ano an dahilan?
Ang dahilan ng kanyang sakit sa ngipin ay ang labis na pagkain niya ng matatamis.,The cause of his toothache was that he ate too many sweets.,Ang hinungdan sa iyang sakit sa ngipon mao ang pag kaon niya sa mga tam-is.,Ing sangkan ning pangasakit na ning ipan na uling dakal ya pengan a sweets.,An kawsa kan saiyang kulog nin ngipon iyo an saiyang kinakakan na kadakol na dulse.
Kastila ka ba?,are you spanish,Kastila ba ka?,kastila ka,kastila ka
"Hindi, ngunit marunong akong mangastila.","No, but I know how to kill.","Dili, apan makasulti ako sa Kinastila.","ali, pero balu ku nung makananu kung makamate.","Dai, alagad tatao akong maggadan."
"Wala kang pakialam, hindi ba?","You don't care, do you?",Diba wala kay labot.,"Ala kang pakialam, ne?","Mayo kang pakiaram, bako?"
"Mahilig siyang gumawa ng tsismis, kaya marami siyang kalaban.","He likes to gossip, so he has many enemies.",Ganahan siya mu buhat ug istorya maong daghan siya ug kontra.,"Mahilig yang magtsismis, inya dakal ya kalaban.","Mahilig siyang magtsismis, kaya dakul siyang kaiwal."
Natulog na ako bago pa dumating ang tatay sa bahay.,I fell asleep before dad came home.,Mihigda na ako sa wala pa mopauli ang akong amahan.,Metudtud ku bayu ya minuli i tatang.,Nakaturog ako bago mag-uli si papa.
Nagluto ako ng talong at itlog para agahan ko.,I cooked eggplant and eggs for breakfast.,Nagluto ako talong ug itlog alang sa pamahaw.,Meglutu kung talong ampong ebun keng almusal.,Nagluto ako nin talong asin itlog para sa pamahaw.
Masarap ang talong kung kakainin mo sabay ang suka.,Eggplant is delicious if you eat it with vinegar.,Lami ang talong kung magdungan ka mokaon og suka.,Manyaman ya ing talong nung kakanan me keng suka.,Masiram an talong kun kakanon na may suka.
May talong bang puti?,Is there a white eggplant?,Aduna bay puti nga talong?,Atin bang talong a maputi?,Igwa daw nin puting talong?
Sabi nila na maraming nikotina ang talong.,They say that eggplant has a lot of nicotine.,Matod pa nila ang talong adunay daghang nikotina.,Sabi da dakal ya nikotina ing talong.,"Sabi ninda, dakul an nikotina kan talong."
"Hindi siya kumakain nito, diba?","He doesn't eat it, does he?",Dili diba niya kini gina kaon?,"E ne kakanan ita, ne?","Dai niya ini kinakakan, bako?"
Ikuwento mo sa akin kung ano ang nalaman mo.,Tell me what you find out.,Isulti kanako kung unsa ang imong nahibal-an.,Sabyan mu nung nanu ing abalu mu.,Sabihon mo sako kun ano an saimong naaraman.
Ako ay isang Muslim.,I am a Muslim.,Usa ako ka Muslim.,Muslim ku.,Ako sarong Muslim.
Hinahabol ng aso ang pusa at ang daga ay hinahabol ng pusa.,The dog chases the cat and the mouse is chased by the cat.,Ginagukod sa iro ang iring ug giapas sa ilaga ang iring.,Ing asu tutukian ne ing pusa at ing tigre tutukian ne ning pusa.,An ayam naghahabol sa pusa asin an daga pighahabol kan pusa.
Natanggap ko ang kanyang tawag kahapon.,I received his call yesterday.,Nadawat nako iyang tawag gahapon.,tinggap ke ing tawag na napun.,Naresibe ko an saiyang apod kasuodma.
Hindi nakayanan ng istruktura ang lindol.,The structure could not withstand the earthquake.,Dili makasugakod ang istruktura sa linog.,Ing istruktura e na agyung tanggapan ing linug.,Dai nakaya kan estruktura an linog.
Walang humpay kung magsalita ang mga babae.,There is no stopping if women talk.,Wala?y hunong kung magtabi ang mga babaye.,Alang tutuknang nung magsalita la reng babai.,Mayo nin pag-ontok kun an mga babae nagtataram.
Mukhang hindi pintor ang puminta nito.,It doesn't look like an artist painted it.,Murag dili pintador ang ni pinta niini.,E ya balamu artista ing migpintura kaniti.,Dai ini garo sarong artista an nagpinta kaini.
